N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
59.0,SK바이오팜,69000.0,0.0,0.00%,500.0,4186.0,6437.0,950.0
60.0,한온시스템,10000.0,0.0,0.00%,100.0,73514.0,82337.0,3258.0
61.0,현대건설,47800.0,0.0,0.00%,5000.0,180655.0,196373.0,7535.0
62.0,LG디스플레이,14850.0,0.0,0.00%,5000.0,298780.0,381545.0,22306.0
63.0,넷마블,61800.0,0.0,0.00%,100.0,25069.0,106638.0,1510.0
64.0,삼성중공업,6010.0,0.0,0.00%,1000.0,66220.0,121386.0,-13120.0
65.0,F&F,137000.0,0.0,0.00%,100.0,10892.0,11465.0,3227.0
66.0,맥쿼리인프라,12700.0,0.0,0.00%,0.0,,,
67.0,LG유플러스,11700.0,0.0,0.00%,5000.0,138511.0,193705.0,9790.0
68.0,HD현대,61900.0,0.0,0.00%,1000.0,281587.0,358157.0,10854.0
69.0,삼성엔지니어링,23500.0,0.0,0.00%,5000.0,74867.0,60587.0,5033.0
70.0,코웨이,62400.0,0.0,0.00%,500.0,36643.0,38006.0,6402.0
71.0,SKC,121000.0,0.0,0.00%,5000.0,33961.0,61801.0,4647.0
72.0,한국타이어앤테크놀로지,36550.0,0.0,0.00%,500.0,71411.0,117039.0,6422.0
73.0,현대미포조선,110500.0,0.0,0.00%,5000.0,28872.0,38783.0,-2173.0
74.0,메리츠화재,37100.0,0.0,0.00%,500.0,118614.0,276890.0,9076.0
75.0,현대제철,32300.0,0.0,0.00%,5000.0,228499.0,370423.0,24475.0
76.0,한국가스공사,46350.0,0.0,0.00%,5000.0,275208.0,436699.0,12397.0
77.0,DB손해보험,59600.0,0.0,0.00%,500.0,208806.0,647516.0,11084.0
78.0,GS,45300.0,0.0,0.00%,5000.0,202401.0,311913.0,26403.0
79.0,롯데지주,40100.0,0.0,0.00%,200.0,99249.0,199219.0,2164.0
80.0,유한양행,56000.0,0.0,0.00%,1000.0,16878.0,24638.0,486.0
81.0,한화에어로스페이스,79600.0,0.0,0.00%,5000.0,64151.0,110458.0,3830.0
82.0,미래에셋증권,6480.0,0.0,0.00%,5000.0,131448.0,1086418.0,14855.0
83.0,한진칼,58800.0,0.0,0.00%,2500.0,3953.0,37547.0,-1952.0
84.0,오리온,98200.0,0.0,0.00%,500.0,23555.0,31204.0,3729.0
85.0,금호석유,127000.0,0.0,0.00%,5000.0,84618.0,81157.0,24068.0
86.0,메리츠금융지주,29000.0,0.0,0.00%,500.0,356499.0,820309.0,18006.0
87.0,삼성카드,31400.0,0.0,0.00%,5000.0,35881.0,271442.0,7493.0
88.0,한미약품,292000.0,0.0,0.00%,2500.0,12032.0,19367.0,1254.0
89.0,에스디바이오센서,33900.0,0.0,0.00%,500.0,29300.0,30051.0,13640.0
90.0,두산밥캣,34600.0,0.0,0.00%,500.0,58162.0,85809.0,5953.0
91.0,TIGER 차이나전기차SOLACTIVE,15420.0,0.0,0.00%,0.0,,,
92.0,쌍용C&E,6780.0,0.0,0.00%,100.0,16614.0,35648.0,2487.0
93.0,포스코인터내셔널,27300.0,0.0,0.00%,5000.0,339489.0,107707.0,5854.0
94.0,현대차2우B,90500.0,0.0,0.00%,5000.0,,,
95.0,현대로템,30100.0,0.0,0.00%,5000.0,28725.0,41072.0,802.0
96.0,NH투자증권,9850.0,0.0,0.00%,5000.0,107622.0,585420.0,12939.0
97.0,일진머티리얼즈,70700.0,0.0,0.00%,500.0,6889.0,17536.0,699.0
98.0,현대오토에버,115000.0,0.0,0.00%,500.0,20704.0,23461.0,961.0
99.0,한국금융지주,56500.0,0.0,0.00%,5000.0,137861.0,820366.0,15210.0
100.0,메리츠증권,4750.0,0.0,0.00%,1000.0,232474.0,541082.0,9489.0
101.0,삼성증권,33550.0,0.0,0.00%,5000.0,98095.0,657075.0,13087.0
102.0,씨에스윈드,70700.0,0.0,0.00%,500.0,12034.0,17739.0,1010.0
103.0,OCI,125000.0,0.0,0.00%,5000.0,32440.0,57041.0,6260.0
104.0,한화시스템,15500.0,0.0,0.00%,5000.0,20895.0,38943.0,1120.0
105.0,한전기술,75400.0,0.0,0.00%,200.0,4331.0,7055.0,101.0
106.0,현대해상,31650.0,0.0,0.00%,500.0,188422.0,528180.0,6393.0
107.0,호텔신라,71900.0,0.0,0.00%,5000.0,37791.0,26564.0,1188.0
108.0,아모레G,33850.0,0.0,0.00%,500.0,53261.0,80381.0,3562.0
109.0,롯데쇼핑,97600.0,0.0,0.00%,5000.0,155736.0,334265.0,2076.0
110.0,BGF리테일,159000.0,0.0,0.00%,1000.0,67812.0,25964.0,1994.0
111.0,팬오션,5130.0,0.0,0.00%,1000.0,46161.0,64888.0,5729.0
112.0,CJ대한통운,119500.0,0.0,0.00%,5000.0,113437.0,89939.0,3439.0
113.0,한미사이언스,39300.0,0.0,0.00%,500.0,9502.0,9499.0,589.0
114.0,이마트,96700.0,0.0,0.00%,5000.0,249327.0,312421.0,3168.0
115.0,GS리테일,24400.0,0.0,0.00%,1000.0,97657.0,94560.0,2085.0
116.0,KCC,287500.0,0.0,0.00%,5000.0,58749.0,128789.0,3888.0
117.0,두산퓨얼셀,38950.0,0.0,0.00%,100.0,3814.0,6989.0,180.0
118.0,GS건설,29650.0,0.0,0.00%,5000.0,90366.0,151837.0,6465.0
119.0,제일기획,21750.0,0.0,0.00%,200.0,33257.0,25421.0,2482.0
120.0,대한전선,2000.0,0.0,0.00%,100.0,19977.0,14209.0,395.0
121.0,만도,52400.0,0.0,0.00%,1000.0,61474.0,57044.0,2323.0
122.0,동서,24150.0,0.0,0.00%,500.0,5353.0,15826.0,384.0
123.0,한솔케미칼,210000.0,0.0,0.00%,5000.0,7687.0,11972.0,1977.0
124.0,한화,31150.0,0.0,0.00%,5000.0,528361.0,2023664.0,29279.0
125.0,LIG넥스원,105000.0,0.0,0.00%,5000.0,18222.0,25768.0,972.0
126.0,CJ,76500.0,0.0,0.00%,5000.0,344840.0,419560.0,18818.0
127.0,에스원,57800.0,0.0,0.00%,500.0,23125.0,19730.0,1797.0
128.0,LG화학우,285000.0,0.0,0.00%,5000.0,,,
129.0,TIGER 미국나스닥100,75260.0,0.0,0.00%,0.0,,,
130.0,현대차우,89300.0,0.0,0.00%,5000.0,,,
131.0,BNK금융지주,6670.0,0.0,0.00%,5000.0,55807.0,1282870.0,10920.0
132.0,대우조선해양,20250.0,0.0,0.00%,5000.0,44866.0,106232.0,-17547.0
133.0,LS,67200.0,0.0,0.00%,5000.0,130891.0,126259.0,5837.0
134.0,KODEX 200선물인버스2X,3125.0,0.0,0.00%,0.0,,,
135.0,대우건설,5170.0,0.0,0.00%,5000.0,86852.0,104580.0,7383.0
136.0,신세계,216500.0,0.0,0.00%,5000.0,63164.0,136445.0,5174.0
137.0,하이트진로,30100.0,0.0,0.00%,5000.0,22029.0,36311.0,1741.0
138.0,키움증권,80200.0,0.0,0.00%,5000.0,58662.0,453011.0,12089.0
139.0,TIGER 200,31645.0,0.0,0.00%,0.0,,,
140.0,KODEX 레버리지,14970.0,0.0,0.00%,0.0,,,
141.0,대웅제약,171500.0,0.0,0.00%,2500.0,11530.0,14152.0,889.0
142.0,한화생명,2255.0,0.0,0.00%,5000.0,271736.0,1635914.0,13520.0
143.0,효성첨단소재,432000.0,0.0,0.00%,5000.0,35978.0,29087.0,4373.0
144.0,DB하이텍,43400.0,0.0,0.00%,5000.0,12147.0,15499.0,3991.0
145.0,영원무역,42900.0,0.0,0.00%,500.0,27925.0,35476.0,4425.0
146.0,코스모신소재,61700.0,0.0,0.00%,1000.0,3059.0,3485.0,218.0
147.0,현대위아,69400.0,0.0,0.00%,5000.0,75277.0,77495.0,1027.0
148.0,농심,309000.0,0.0,0.00%,5000.0,26630.0,28999.0,1061.0
149.0,휠라홀딩스,30700.0,0.0,0.00%,1000.0,37940.0,42889.0,4929.0
150.0,TIGER 미국S&P500,13650.0,0.0,0.00%,0.0,,,
151.0,롯데정밀화학,71400.0,0.0,0.00%,5000.0,17803.0,27235.0,2445.0
152.0,한전KPS,40900.0,0.0,0.00%,200.0,13806.0,14269.0,1240.0
153.0,녹십자,155500.0,0.0,0.00%,5000.0,15378.0,24621.0,737.0
154.0,KODEX KOFR금리액티브(합성),100660.0,0.0,0.00%,0.0,,,
155.0,오뚜기,483500.0,0.0,0.00%,5000.0,27390.0,26058.0,1666.0
156.0,LS ELECTRIC,57800.0,0.0,0.00%,5000.0,26683.0,27967.0,1551.0
157.0,SK케미칼,96100.0,0.0,0.00%,5000.0,20896.0,39556.0,5552.0
158.0,TIGER 단기통안채,101160.0,0.0,0.00%,0.0,,,
159.0,에스엘,35450.0,0.0,0.00%,500.0,30011.0,25675.0,1105.0
160.0,LX인터내셔널,42300.0,0.0,0.00%,5000.0,166865.0,67469.0,6562.0
161.0,효성,75000.0,0.0,0.00%,5000.0,35389.0,52579.0,6406.0
162.0,동원시스템즈,54200.0,0.0,0.00%,5000.0,12509.0,14920.0,900.0
163.0,DL이앤씨,40200.0,0.0,0.00%,5000.0,76317.0,87017.0,9573.0
164.0,KODEX 단기채권PLUS,103985.0,0.0,0.00%,0.0,,,
165.0,후성,16100.0,0.0,0.00%,500.0,3813.0,6163.0,581.0
166.0,JB금융지주,7550.0,0.0,0.00%,5000.0,25415.0,563956.0,7083.0
167.0,신풍제약,27450.0,0.0,0.00%,500.0,1892.0,3926.0,-143.0
168.0,TIGER 미국필라델피아반도체나스닥,10055.0,0.0,0.00%,0.0,,,
169.0,솔루스첨단소재,41250.0,0.0,0.00%,100.0,3812.0,10116.0,20.0
170.0,코오롱인더,52300.0,0.0,0.00%,5000.0,46621.0,56013.0,2527.0
171.0,현대백화점,61100.0,0.0,0.00%,5000.0,35724.0,89692.0,2644.0
172.0,대성홀딩스,88700.0,0.0,0.00%,1000.0,9405.0,12440.0,213.0
173.0,TIGER 미국테크TOP10 INDXX,11155.0,0.0,0.00%,0.0,,,
174.0,롯데칠성,152000.0,0.0,0.00%,500.0,25061.0,35968.0,1822.0
175.0,DL,67200.0,0.0,0.00%,5000.0,23854.0,83230.0,2219.0
176.0,대웅,24000.0,0.0,0.00%,500.0,15114.0,19337.0,1826.0
177.0,두산,83900.0,0.0,0.00%,5000.0,132042.0,260099.0,9459.0
178.0,일진하이솔루스,37200.0,0.0,0.00%,500.0,1177.0,3435.0,98.0
179.0,대덕전자,27150.0,0.0,0.00%,500.0,10009.0,9410.0,725.0
180.0,효성티앤씨,308000.0,0.0,0.00%,5000.0,85960.0,45265.0,14237.0
181.0,TIGER TOP10,10310.0,0.0,0.00%,0.0,,,
182.0,KG스틸,13150.0,0.0,0.00%,5000.0,33548.0,27711.0,2969.0
183.0,KODEX 2차전지산업,19725.0,0.0,0.00%,0.0,,,
184.0,롯데렌탈,35500.0,0.0,0.00%,5000.0,24227.0,61250.0,2455.0
185.0,서울가스,259500.0,0.0,0.00%,5000.0,12778.0,16626.0,-49.0
186.0,KODEX 삼성그룹,8385.0,0.0,0.00%,0.0,,,
187.0,TIGER 2차전지테마,19530.0,0.0,0.00%,0.0,,,
188.0,KODEX 단기채권,103585.0,0.0,0.00%,0.0,,,
189.0,한샘,53400.0,0.0,0.00%,1000.0,22312.0,12464.0,693.0
190.0,DGB금융지주,7390.0,0.0,0.00%,5000.0,51957.0,859060.0,7486.0
191.0,동국제강,13050.0,0.0,0.00%,5000.0,72403.0,63341.0,8030.0
192.0,KODEX 종합채권(AA-이상)액티브,101185.0,0.0,0.00%,0.0,,,
193.0,현대두산인프라코어,6240.0,0.0,0.00%,1000.0,45937.0,47823.0,2645.0
194.0,현대일렉트릭,34150.0,0.0,0.00%,5000.0,18060.0,22150.0,97.0
195.0,롯데리츠,5030.0,0.0,0.00%,500.0,562.0,24039.0,328.0
196.0,한국앤컴퍼니,12800.0,0.0,0.00%,500.0,9633.0,40812.0,2283.0
197.0,TIGER MSCI Korea TR,12935.0,0.0,0.00%,0.0,,,
198.0,ESR켄달스퀘어리츠,5500.0,0.0,0.00%,1000.0,467.0,22680.0,238.0
199.0,현대엘리베이,28650.0,0.0,0.00%,5000.0,19734.0,29874.0,1290.0
200.0,롯데제과,123000.0,0.0,0.00%,500.0,21454.0,26666.0,1085.0
201.0,한미반도체,11650.0,0.0,0.00%,100.0,3732.0,4293.0,1224.0
202.0,SK가스,123500.0,0.0,0.00%,5000.0,64945.0,51215.0,1055.0
203.0,아이에스동서,36400.0,0.0,0.00%,500.0,16084.0,35098.0,3108.0
204.0,영풍,610000.0,0.0,0.00%,5000.0,35821.0,55210.0,-268.0
205.0,SK리츠,5700.0,0.0,0.00%,500.0,186.0,18832.0,153.0
206.0,SK네트웍스,4480.0,0.0,0.00%,2500.0,110181.0,94109.0,1220.0
207.0,KODEX 200TR,10575.0,0.0,0.00%,0.0,,,
208.0,아시아나항공,14550.0,0.0,0.00%,5000.0,43397.0,130827.0,932.0
209.0,명신산업,20500.0,0.0,0.00%,500.0,11077.0,7195.0,565.0
210.0,KBSTAR 200,31800.0,0.0,0.00%,0.0,,,
211.0,한일시멘트,15300.0,0.0,0.00%,500.0,12719.0,23703.0,1204.0
212.0,에이프로젠,1380.0,0.0,0.00%,500.0,1412.0,8241.0,-27.0
213.0,PI첨단소재,35700.0,0.0,0.00%,500.0,3019.0,4730.0,759.0
214.0,더존비즈온,33600.0,0.0,0.00%,500.0,3187.0,9003.0,712.0
215.0,종근당,85100.0,0.0,0.00%,2500.0,13436.0,10467.0,948.0
216.0,코리안리,8380.0,0.0,0.00%,500.0,109155.0,131157.0,2035.0
217.0,케이카,20950.0,0.0,0.00%,500.0,19024.0,5500.0,711.0
218.0,솔루엠,19850.0,0.0,0.00%,500.0,11533.0,7109.0,265.0
219.0,금호타이어,3415.0,0.0,0.00%,5000.0,26012.0,43422.0,-415.0
220.0,미원에스씨,192000.0,0.0,0.00%,500.0,5313.0,4381.0,950.0
221.0,CJ CGV,20350.0,0.0,0.00%,500.0,7363.0,37855.0,-2414.0
222.0,일동제약,36200.0,0.0,0.00%,1000.0,5601.0,7090.0,-555.0
223.0,신세계인터내셔날,27150.0,0.0,0.00%,1000.0,14508.0,11591.0,920.0
224.0,유니드,108000.0,0.0,0.00%,5000.0,10973.0,13477.0,1683.0
225.0,GKL,15500.0,0.0,0.00%,500.0,851.0,5313.0,-1458.0
226.0,해성디에스,56100.0,0.0,0.00%,5000.0,6554.0,4749.0,863.0
227.0,NHN,25050.0,0.0,0.00%,500.0,19237.0,30272.0,979.0
228.0,오리온홀딩스,14800.0,0.0,0.00%,500.0,24151.0,49618.0,3157.0
229.0,태광산업,828000.0,0.0,0.00%,5000.0,25918.0,49238.0,3553.0
230.0,제이알글로벌리츠,4645.0,0.0,0.00%,1000.0,463.0,18846.0,241.0
231.0,진에어,17500.0,0.0,0.00%,1000.0,2472.0,6016.0,-1853.0
232.0,동양생명,5540.0,0.0,0.00%,5000.0,63476.0,371033.0,3322.0
233.0,미원상사,177500.0,0.0,0.00%,500.0,3598.0,3724.0,572.0
234.0,덴티움,78900.0,0.0,0.00%,500.0,2915.0,5702.0,699.0
235.0,TKG휴켐스,21350.0,0.0,0.00%,1000.0,8612.0,9493.0,934.0
236.0,녹십자홀딩스,18450.0,0.0,0.00%,500.0,18406.0,34968.0,862.0
237.0,하나투어,53600.0,0.0,0.00%,500.0,403.0,4306.0,-1273.0
238.0,티와이홀딩스,16850.0,0.0,0.00%,500.0,2952.0,21322.0,112.0
239.0,롯데관광개발,11800.0,0.0,0.00%,500.0,1071.0,13024.0,-1313.0
240.0,한국콜마,37200.0,0.0,0.00%,500.0,15863.0,26060.0,843.0
241.0,KODEX 인버스,4875.0,0.0,0.00%,0.0,,,
242.0,이노션,42400.0,0.0,0.00%,500.0,15020.0,22016.0,1357.0
243.0,삼성 레버리지 WTI원유 선물 ETN,2095.0,0.0,0.00%,0.0,,,
244.0,삼천리,208000.0,0.0,0.00%,5000.0,37633.0,42453.0,700.0
245.0,쏘카,25750.0,0.0,0.00%,100.0,2890.0,4332.0,-210.0
246.0,삼양식품,111500.0,0.0,0.00%,5000.0,6420.0,7531.0,654.0
247.0,진원생명과학,10800.0,0.0,0.00%,1000.0,387.0,2495.0,-275.0
248.0,한올바이오파마,15900.0,0.0,0.00%,500.0,1016.0,1985.0,101.0
249.0,동원산업,225500.0,0.0,0.00%,5000.0,28022.0,30519.0,2607.0
250.0,다우기술,18400.0,0.0,0.00%,500.0,60870.0,463224.0,12572.0
251.0,KCC글라스,51600.0,0.0,0.00%,1000.0,11757.0,18779.0,1605.0
252.0,현대건설기계,41750.0,0.0,0.00%,5000.0,32843.0,35543.0,1607.0
253.0,HDC현대산업개발,12400.0,0.0,0.00%,5000.0,33639.0,65664.0,2734.0
254.0,풍산,29050.0,0.0,0.00%,5000.0,35095.0,31483.0,3141.0
255.0,KODEX 코스닥150레버리지,8290.0,0.0,0.00%,0.0,,,
256.0,세아제강지주,191500.0,0.0,0.00%,5000.0,28417.0,28990.0,2990.0
257.0,코스모화학,22500.0,0.0,0.00%,1000.0,5126.0,6813.0,305.0
258.0,LG전자우,45800.0,0.0,0.00%,5000.0,,,
259.0,대상,22600.0,0.0,0.00%,1000.0,34700.0,28705.0,1532.0
260.0,대한유화,120000.0,0.0,0.00%,5000.0,25149.0,24789.0,1794.0
261.0,대신증권,15350.0,0.0,0.00%,5000.0,36353.0,227632.0,8855.0
262.0,화승엔터프라이즈,12850.0,0.0,0.00%,500.0,11386.0,13303.0,71.0
263.0,우리종금,878.0,0.0,0.00%,500.0,3033.0,51597.0,1040.0
264.0,율촌화학,30700.0,0.0,0.00%,500.0,5387.0,6667.0,110.0
265.0,지누스,43900.0,0.0,0.00%,500.0,11238.0,10186.0,743.0
266.0,LG생활건강우,357500.0,0.0,0.00%,5000.0,,,
267.0,현대그린푸드,7660.0,0.0,0.00%,500.0,34861.0,31100.0,586.0
268.0,현대에너지솔루션,66300.0,0.0,0.00%,5000.0,5932.0,6056.0,95.0
269.0,제주항공,14850.0,0.0,0.00%,1000.0,2731.0,12668.0,-3172.0
270.0,신한 레버리지 WTI원유 선물 ETN(H),1475.0,0.0,0.00%,0.0,,,
271.0,콘텐트리중앙,38400.0,0.0,0.00%,5000.0,6771.0,22456.0,-574.0
272.0,대한해운,2270.0,0.0,0.00%,500.0,11538.0,38597.0,2039.0
273.0,더블유게임즈,39300.0,0.0,0.00%,500.0,6241.0,13819.0,1904.0
274.0,파미셀,12000.0,0.0,0.00%,500.0,509.0,958.0,76.0
275.0,효성중공업,76000.0,0.0,0.00%,5000.0,30947.0,40227.0,1201.0
276.0,세방전지,50300.0,0.0,0.00%,500.0,13520.0,16844.0,997.0
277.0,코스맥스,61900.0,0.0,0.00%,500.0,15915.0,14119.0,1226.0
278.0,영원무역홀딩스,51100.0,0.0,0.00%,500.0,32405.0,43256.0,5705.0
279.0,쿠쿠홈시스,31000.0,0.0,0.00%,100.0,8932.0,9694.0,1786.0
280.0,TIGER 200 IT,27635.0,0.0,0.00%,0.0,,,
281.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),11480.0,0.0,0.00%,0.0,,,
282.0,보령,10100.0,0.0,0.00%,500.0,6273.0,8286.0,414.0
283.0,KODEX 자동차,18095.0,0.0,0.00%,0.0,,,
284.0,SBS,37750.0,0.0,0.00%,5000.0,10790.0,14621.0,1844.0
285.0,SPC삼립,79600.0,0.0,0.00%,5000.0,29467.0,12230.0,662.0
286.0,세아베스틸지주,19150.0,0.0,0.00%,5000.0,36511.0,35260.0,2384.0
287.0,SNT모티브,46900.0,0.0,0.00%,5000.0,9417.0,11498.0,916.0
288.0,F&F홀딩스,17450.0,0.0,0.00%,500.0,7271.0,29123.0,2231.0
289.0,한섬,27550.0,0.0,0.00%,500.0,13874.0,15571.0,1522.0
290.0,프레스티지바이오파마,11250.0,0.0,0.00%,0.0,,6053.0,-175.0
291.0,SK디스커버리,35250.0,0.0,0.00%,5000.0,66143.0,68819.0,744.0
292.0,동아쏘시오홀딩스,104000.0,0.0,0.00%,5000.0,8819.0,16914.0,616.0
293.0,한화투자증권,3065.0,0.0,0.00%,5000.0,19115.0,117910.0,2088.0
294.0,엠씨넥스,36000.0,0.0,0.00%,500.0,10093.0,5255.0,239.0
295.0,한국카본,14600.0,0.0,0.00%,500.0,3678.0,4984.0,327.0
296.0,금양,11650.0,0.0,0.00%,500.0,2177.0,3148.0,121.0
297.0,LX홀딩스,8410.0,0.0,0.00%,1000.0,1858.0,14425.0,1472.0
298.0,한국단자,60500.0,0.0,0.00%,500.0,9622.0,11252.0,762.0
299.0,넥센타이어,6450.0,0.0,0.00%,500.0,20794.0,38234.0,44.0
300.0,ARIRANG 200,32215.0,0.0,0.00%,0.0,,,
301.0,부광약품,8740.0,0.0,0.00%,500.0,1825.0,3974.0,56.0
302.0,드림텍,9210.0,0.0,0.00%,100.0,12316.0,7330.0,961.0
303.0,한세실업,15450.0,0.0,0.00%,500.0,16720.0,12162.0,1067.0
304.0,TIGER CD금리투자KIS(합성),51130.0,0.0,0.00%,0.0,,,
305.0,HANARO 200,31740.0,0.0,0.00%,0.0,,,
306.0,이수화학,21950.0,0.0,0.00%,5000.0,17033.0,11689.0,821.0
307.0,영진약품,3335.0,0.0,0.00%,500.0,1961.0,1941.0,-139.0
308.0,현대홈쇼핑,49850.0,0.0,0.00%,5000.0,22099.0,26003.0,1285.0
309.0,SK디앤디,26850.0,0.0,0.00%,1000.0,7910.0,19834.0,1294.0
310.0,DN오토모티브,59500.0,0.0,0.00%,500.0,9308.0,14850.0,896.0
311.0,동원F&B,154000.0,0.0,0.00%,5000.0,34906.0,19357.0,1304.0
312.0,남해화학,11900.0,0.0,0.00%,1000.0,14519.0,7191.0,205.0
313.0,삼양홀딩스,68300.0,0.0,0.00%,5000.0,31073.0,44606.0,3517.0
314.0,쿠쿠홀딩스,16400.0,0.0,0.00%,100.0,6851.0,10709.0,1070.0
315.0,신한알파리츠,7890.0,0.0,0.00%,1000.0,482.0,18937.0,288.0
316.0,KODEX MSCI Korea TR,10335.0,0.0,0.00%,0.0,,,
317.0,경동나비엔,38950.0,0.0,0.00%,1000.0,11029.0,9339.0,643.0
318.0,QV 코스피 변동성 매칭형 양매도 ETN,8065.0,0.0,0.00%,0.0,,,
319.0,TIGER 단기채권액티브,50660.0,0.0,0.00%,0.0,,,
320.0,유안타증권,2800.0,0.0,0.00%,5000.0,23090.0,147149.0,3214.0
321.0,SGC에너지,37900.0,0.0,0.00%,5000.0,18984.0,25915.0,1522.0
322.0,효성화학,169000.0,0.0,0.00%,5000.0,24530.0,30562.0,1486.0
323.0,미래에셋증권2우B,3850.0,0.0,0.00%,5000.0,,,
